Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","SA2 (UR)","OCCP - 1 Digit Level","Count",
"Persons Place of Usual Residence","118021567","Community and Personal Service Workers",538
"Persons Place of Usual Residence","118021567","Clerical and Administrative Workers",648
"Persons Place of Usual Residence","118021567","Sales Workers",419
"Persons Place of Usual Residence","118021567","Machinery Operators and Drivers",161
"Persons Place of Usual Residence","118021567","Labourers",271
"Persons Place of Usual Residence","118021567","Inadequately described",41
"Persons Place of Usual Residence","118021567","Not stated",36
"Persons Place of Usual Residence","118021567","Not applicable",5718
"Persons Place of Usual Residence","118021567","Total",10681
"Persons Place of Usual Residence","118021568","Managers",686
"Persons Place of Usual Residence","118021568","Professionals",1463
"Persons Place of Usual Residence","118021568","Technicians and Trades Workers",431
"Persons Place of Usual Residence","118021568","Community and Personal Service Workers",456
"Persons Place of Usual Residence","118021568","Clerical and Administrative Workers",677
"Persons Place of Usual Residence","118021568","Sales Workers",439
"Persons Place of Usual Residence","118021568","Machinery Operators and Drivers",145
"Persons Place of Usual Residence","118021568","Labourers",301
"Persons Place of Usual Residence","118021568","Inadequately described",48
"Persons Place of Usual Residence","118021568","Not stated",36
"Persons Place of Usual Residence","118021568","Not applicable",5516
"Persons Place of Usual Residence","118021568","Total",10195
"Persons Place of Usual Residence","118021569","Managers",1618
"Persons Place of Usual Residence","118021569","Professionals",3740
"Persons Place of Usual Residence","118021569","Technicians and Trades Workers",850
"Persons Place of Usual Residence","118021569","Community and Personal Service Workers",858
"Persons Place of Usual Residence","118021569","Clerical and Administrative Workers",1184
"Persons Place of Usual Residence","118021569","Sales Workers",656
"Persons Place of Usual Residence","118021569","Machinery Operators and Drivers",208
"Persons Place of Usual Residence","118021569","Labourers",362
"Persons Place of Usual Residence","118021569","Inadequately described",75
"Persons Place of Usual Residence","118021569","Not stated",53
"Persons Place of Usual Residence","118021569","Not applicable",7264
"Persons Place of Usual Residence","118021569","Total",16874
"Persons Place of Usual Residence","118021570","Managers",1052
"Persons Place of Usual Residence","118021570","Professionals",2754
"Persons Place of Usual Residence","118021570","Technicians and Trades Workers",622
"Persons Place of Usual Residence","118021570","Community and Personal Service Workers",618
"Persons Place of Usual Residence","118021570","Clerical and Administrative Workers",895
"Persons Place of Usual Residence","118021570","Sales Workers",476
"Persons Place of Usual Residence","118021570","Machinery Operators and Drivers",140
"Persons Place of Usual Residence","118021570","Labourers",301
"Persons Place of Usual Residence","118021570","Inadequately described",48
"Persons Place of Usual Residence","118021570","Not stated",36
"Persons Place of Usual Residence","118021570","Not applicable",6166
